Gene	Gene synonym	Ensembl
EXOSC5	hRrp46p, MGC12901, p12B, RRP41B, RRP46, Rrp46p	ENSG00000077348
DYNC1I2	DIC74, DNCI2	ENSG00000077380
APBB1IP	INAG1, RIAM	ENSG00000077420
LRCH4	LRN, LRRN1	ENSG00000077454
FAM76B	MGC33371	ENSG00000077458
SIRT6		ENSG00000077463
TYR	OCA1, OCA1A, OCAIA	ENSG00000077498
POLD3	KIAA0039, P66, P68, PPP1R128	ENSG00000077514
ACTN2		ENSG00000077522
CAPZB		ENSG00000077549
GPR137B	TM7SF1	ENSG00000077585
NAALAD2	GCPIII, NAALADASE2	ENSG00000077616
JADE1	JADE-1, PHF17	ENSG00000077684
SLC25A43		ENSG00000077713
UBE2A	HHR6A, HR6A, RAD6A, UBC2	ENSG00000077721
FGFR1	BFGFR, CD331, CEK, FLG, FLT2, H2, H3, H4, H5, KAL2, N-SAM	ENSG00000077782
FKBP6	FKBP36, PPIase	ENSG00000077800
SMC1B	bK268H5, SMC1L2	ENSG00000077935
FBLN1	FBLN	ENSG00000077942
ITGA8		ENSG00000077943
CST7		ENSG00000077984
MAP2	MAP2A, MAP2B, MAP2C	ENSG00000078018
PIAS2	ARIP3, miz, PIASX-ALPHA, PIASX-BETA, ZMIZ4	ENSG00000078043
AMPH		ENSG00000078053
ARAF	ARAF1	ENSG00000078061
MCCC1	MCCA, MCCCalpha	ENSG00000078070
LAMP3	CD208, DC-LAMP, DCLAMP, LAMP, TSC403	ENSG00000078081
FAP	DPPIV	ENSG00000078098
NEBL	bA165O3.1, C10orf113, LASP2, LNEBL	ENSG00000078114
ACER3	APHC, FLJ11238, PHCA	ENSG00000078124
UBE2K	HIP2, HYPG, UBC1	ENSG00000078140
PIK3C3	hVps34, Vps34	ENSG00000078142
N4BP2	B3BP	ENSG00000078177
TIGAR	C12orf5	ENSG00000078237
TULP3	TUBL3	ENSG00000078246
SYNJ2	INPP5H	ENSG00000078269
ADCY2	AC2, HBAC2, KIAA1060	ENSG00000078295
PPP2R5C	B56G, B56gamma, PR61G	ENSG00000078304
RBFOX1	A2BP1, FOX-1, HRNBP1	ENSG00000078328
GNB1		ENSG00000078369
HOXA9	HOX1, HOX1G	ENSG00000078399
EDN1	ET1	ENSG00000078401
MLLT10	AF10	ENSG00000078403
ZCWPW1	DKFZp434N0510, FLJ10057, ZCW1	ENSG00000078487
ADCYAP1R1	PAC1, PAC1R, PACAPR	ENSG00000078549
FGF20		ENSG00000078579
P2RY10	P2Y10	ENSG00000078589
ITM2A	BRICD2A, E25A	ENSG00000078596
NRDC	hNRD1, hNRD2, NRD1	ENSG00000078618
VDAC3	HD-VDAC3	ENSG00000078668
PCM1	PTC4	ENSG00000078674
TNRC6C	FLJ20015, KIAA1582	ENSG00000078687
CBFA2T2	MTGR1, ZMYND3	ENSG00000078699
BRINP1	DBC1, DBCCR1, FAM5A	ENSG00000078725
ITCH	AIP4	ENSG00000078747
PKD2L2	TRPP5	ENSG00000078795
TP53INP2	C20orf110, dJ1181N3.1, DKFZp434B2411, DKFZp434O0827, DOR, FLJ21759, FLJ23500, PINH	ENSG00000078804
SDF4	Cab45	ENSG00000078808
MYH7B	dJ756N5.1, KIAA1512, MHC14, MYH14	ENSG00000078814
BPIFB2	BPIL1, C20orf184, dJ726C3.2, LPLUNC2	ENSG00000078898
TP73	P73	ENSG00000078900
TOLLIP	IL-1RAcPIP	ENSG00000078902
UBE2D4	HBUCE1	ENSG00000078967
CLUL1		ENSG00000079101
RUNX1T1	AML1T1, CBFA2T1, CDR, ETO, MTG8, ZMYND2	ENSG00000079102
CDH17	cadherin, HPT-1	ENSG00000079112
THOC1	HPR1, P84	ENSG00000079134
FKBP7	FKBP23	ENSG00000079150
OSBPL6	ORP6	ENSG00000079156
SLC1A3	EA6, EAAT1, GLAST, GLAST-1, GLAST1	ENSG00000079215
XRCC5	KARP-1, KU80, Ku86, KUB2	ENSG00000079246
LXN		ENSG00000079257
SP140	LYSP100-A, LYSP100-B	ENSG00000079263
MKNK1	MNK1	ENSG00000079277
TNS1	DKFZp586K0617, MXRA6, PPP1R155, TNS	ENSG00000079308
REXO1	EloA-BP1, KIAA1138, TCEB3BP1	ENSG00000079313
SAR1A	SAR1, Sara, SARA1	ENSG00000079332
CDC14A	cdc14, Cdc14A1, Cdc14A2, DFNB105, DFNB32	ENSG00000079335
RAPGEF3	bcm910, cAMP-GEFI, EPAC	ENSG00000079337
CEACAM1	BGP, BGP1, CD66a	ENSG00000079385
SENP1		ENSG00000079387
DUSP13	BEDP, DUSP13A, DUSP13B, FLJ32450, MDSP, TMDP	ENSG00000079393
CIC	KIAA0306	ENSG00000079432
LIPE	HSL	ENSG00000079435
FDFT1	SQS	ENSG00000079459
PAFAH1B3		ENSG00000079462
OPHN1	ARHGAP41, MRX60, OPN1	ENSG00000079482
AFM	ALB2, ALBA	ENSG00000079557
KIF22	Kid, KNSL4, OBP-1, OBP-2	ENSG00000079616
SCGN	CALBL, DJ501N12.8, SECRET, SEGN	ENSG00000079689
CARMIL1	CARMIL, dJ501N12.1, FLJ20048, LRRC16, LRRC16A	ENSG00000079691
PGM1		ENSG00000079739
DDX1	DBP-RB	ENSG00000079785
DNM2	CMT2M, CMTDI1, CMTDIB, DI-CMTB, DYN2, DYNII	ENSG00000079805
EPB41L2	4.1-G, 4.1G	ENSG00000079819
RIMS1	CORD7, KIAA0340, RAB3IP2, RIM, RIM1	ENSG00000079841
MOXD1	dJ248E1.1, DKFZP564G202, MOX	ENSG00000079931
STX7		ENSG00000079950
RABL2B		ENSG00000079974
KEAP1	INrf2, KIAA0132, KLHL19, MGC10630, MGC1114, MGC20887, MGC4407, MGC9454	ENSG00000079999
DDX43	CT13, DKFZp434H2114, HAGE	ENSG00000080007
PTPRH	SAP-1	ENSG00000080031
DCT	TRP-2, TRP2, TYRP2	ENSG00000080166
SLC35C2	bA394O2.1, C20orf5, CGI-15, OVCOV1	ENSG00000080189
CRYBG3	DKFZp667G2110	ENSG00000080200
EPHA6	FLJ35246	ENSG00000080224
SCTR		ENSG00000080293
RFX3		ENSG00000080298
RIF1	FLJ10599, FLJ12870	ENSG00000080345
RAB21	KIAA0118	ENSG00000080371
SLC4A4	hhNMC, HNBC1, NBC1, NBC2, pNBC, SLC4A5	ENSG00000080493
SMARCA2	BAF190, BRM, hBRM, hSNF2a, SNF2, SNF2L2, SNF2LA, Sth1p, SWI2	ENSG00000080503
RDH8	PRRDH, SDR28C2	ENSG00000080511
SESN1	PA26, SEST1	ENSG00000080546
MID2	FXY2, MRX101, RNF60, TRIM1	ENSG00000080561
DNAAF6	CXorf41, MGC35261, NYSAR97, PIH1D3, TWISTER	ENSG00000080572
COL5A3		ENSG00000080573
SRCAP	DOMO1, KIAA0309, SWR1	ENSG00000080603
PUM3	HA-8, hPUF-A, KIAA0020, PEN, Puf-A, PUF6, XTP5	ENSG00000080608
CPB2	CPU, PCPB, TAFI	ENSG00000080618
CHRNA3		ENSG00000080644
KCNN2	hSK2, KCa2.2	ENSG00000080709
CNOT4	CLONE243, NOT4, NOT4H	ENSG00000080802
PSEN1	AD3, FAD, PS1, S182	ENSG00000080815
CPOX	CPO, CPX, HCP	ENSG00000080819
CLDND1	C3orf4, Z38	ENSG00000080822
MOK	RAGE, RAGE1, STK30	ENSG00000080823
HSP90AA1	FLJ31884, Hsp89, Hsp90, HSP90N, HSPC1, HSPCA	ENSG00000080824
RBL1	cp107, p107, PRB1	ENSG00000080839
DLGAP4	DAP4, KIAA0964, SAPAP4	ENSG00000080845
IGSF9B	KIAA1030, LINC00947, LOC283174, MIR4697HG	ENSG00000080854
CFHR2	CFHL2, FHR2, HFL3	ENSG00000080910
NDC80	HEC, HEC1, hsNDC80, KNTC2, TID3	ENSG00000080986
AP4E1	AP-4-EPSILON, SPG51	ENSG00000081014
RSBN1	FLJ11220, ROSBIN	ENSG00000081019
MAGI3	MAGI-3	ENSG00000081026
CXCL2	CINC-2a, GRO2, GROb, MGSA-b, MIP-2a, SCYB2	ENSG00000081041
AFP	FETA, HPAFP	ENSG00000081051
COL4A4	CA44	ENSG00000081052
TCF7	TCF-1	ENSG00000081059
OSTM1	GL, HSPC019	ENSG00000081087
CDH7		ENSG00000081138
IMPG2	IPM200, RP56, SPACRCAN	ENSG00000081148
PCNP		ENSG00000081154
EXD2	C14orf114, EXDL2, FLJ10738	ENSG00000081177
ARG2		ENSG00000081181
MEF2C		ENSG00000081189
PTPRC	CD45, GP180, LCA, T200	ENSG00000081237
CACNA1S	CACNL1A3, Cav1.1, HOKPP, hypoPP, MHS5	ENSG00000081248
PKP1	B6P	ENSG00000081277
UBA5	FLJ23251, UBE1DC1	ENSG00000081307
STK17B	DRAK2	ENSG00000081320
CDC14B	Cdc14B1, Cdc14B2, CDC14B3, hCDC14B	ENSG00000081377
ZNF510	KIAA0972	ENSG00000081386
LRP2	DBS, gp330	ENSG00000081479
ZNF506	DKFZp761G1812	ENSG00000081665
JMJD4	FLJ12517	ENSG00000081692
DUSP12	DUSP1, YVH1	ENSG00000081721
AACS	ACSF1, FLJ12389, SUR-5	ENSG00000081760
DELE1	DELE, KIAA0141	ENSG00000081791
SLC13A1	NAS1, NaSi-1	ENSG00000081800
CADPS2	CAPS2	ENSG00000081803
PCDHB4	PCDH-BETA4	ENSG00000081818
PCDHA6	CNR2, CNRS2, CRNR2, PCDH-ALPHA6	ENSG00000081842
PCDHGA2	PCDH-GAMMA-A2	ENSG00000081853
HSPB11	C1orf41, FAP232, HSPCO34, IFT25, PP25	ENSG00000081870
PHLPP1	KIAA0606, PHLPP, PLEKHE1, PPM3A, SCOP	ENSG00000081913
ATP8B1	ATPIC, BRIC, FIC1, PFIC, PFIC1	ENSG00000081923
IL12RB2		ENSG00000081985
SMARCD3	BAF60C, CRACD3, Rsc6p	ENSG00000082014
WDR70	FLJ10233	ENSG00000082068
FYB1	ADAP, FYB, FYB-120/130, SLAP-130	ENSG00000082074
MPP4	DLG6	ENSG00000082126
STRADB	ALS2CR2, CALS-21, ILPIP, ILPIPA, PAPK	ENSG00000082146
BZW1	5MP2, BZAP45, KIAA0005	ENSG00000082153
PGR	NR3C3, PR	ENSG00000082175
C1QTNF3	2310005P21Rik, Corcs, Cors, Cors-26, CTRP3	ENSG00000082196
ME2		ENSG00000082212
C5orf22	FLJ11193	ENSG00000082213
CCNT2		ENSG00000082258
FAM135A	FLJ20176, KIAA1411	ENSG00000082269
COL19A1		ENSG00000082293
EPB41L3	4.1B, DAL1, KIAA0987	ENSG00000082397
COBLL1	KIAA0977	ENSG00000082438
DLG3	KIAA1232, MRX90, NE-Dlg, NEDLG, PPP1R82, SAP-102, SAP102	ENSG00000082458
KCNK2	K2p2.1, TREK-1	ENSG00000082482
SERTAD4	DJ667H12.2	ENSG00000082497
TRAF5	RNF84	ENSG00000082512
MRPL22	HSPC158, MRP-L25, RPML25	ENSG00000082515
GEMIN5		ENSG00000082516
OPRK1	KOR, OPRK	ENSG00000082556
NFE2L1	FLJ00380, LCR-F1, NRF-1, NRF1, TCF11	ENSG00000082641
SEMA5B	FLJ10372, KIAA1445, SEMAG, SemG	ENSG00000082684
GSK3B		ENSG00000082701
ITGB5		ENSG00000082781
ERC1	CAST2, ELKS, KIAA1081, MGC12974, RAB6IP2	ENSG00000082805
XPO1	CRM-1, CRM1, emb	ENSG00000082898
RNF13	RZF	ENSG00000082996
TRPM3	GON-2, KIAA1616, LTRPC3	ENSG00000083067
PALB2	FANCN, FLJ21816	ENSG00000083093
DOP1A	dJ202D23.2, DOPEY1, KIAA1117	ENSG00000083097
LYRM2	DJ122O8.2	ENSG00000083099
BCKDHB		ENSG00000083123
KAT6A	MOZ, MYST3, RUNXBP2, ZC2HC6A, ZNF220	ENSG00000083168
TUT7	FLJ13409, KIAA1711, PAPD6, TENT3B, ZCCHC6	ENSG00000083223
ULK2	ATG1B, KIAA0623, Unc51.2	ENSG00000083290
GRHL2	BOM, DFNA28, FLJ13782, TFCP2L3	ENSG00000083307
TNPO1	IPO2, KPNB2, MIP, MIP1, TRN	ENSG00000083312
PLOD1	LH1, LLH, PLOD	ENSG00000083444
P2RX5	LRH-1, P2X5	ENSG00000083454
ITGAE	CD103, HUMINAE	ENSG00000083457
DIS3	dis3p, EXOSC11, KIAA1008, RRP44	ENSG00000083520
PIBF1	C13orf24, CEP90, PIBF	ENSG00000083535
TDRD3	FLJ21007	ENSG00000083544
NUFIP1	NUFIP, Rsa1	ENSG00000083635
PDS5B	APRIN, AS3, CG008, FLJ23236, KIAA0979	ENSG00000083642
OXCT1	OXCT, SCOT	ENSG00000083720
RRAGB		ENSG00000083750
EPYC	DSPG3, Pg-Lb, SLRR3B	ENSG00000083782
CYLD	CYLD1, KIAA0849, USPL2	ENSG00000083799
SLC27A5	ACSB, ACSVL6, FACVL3, FATP5, FLJ22987, VLACSR, VLCS-H2, VLCSH2	ENSG00000083807
ZNF324	ZF5128, ZNF324A	ENSG00000083812
ZNF671	FLJ23506	ENSG00000083814
ZNF416	FLJ20557	ENSG00000083817
ZNF586	FLJ20070	ENSG00000083828
ZNF446	FLJ20626, ZKSCAN20, ZSCAN52	ENSG00000083838
ZNF264	KIAA0412	ENSG00000083844
RPS5	S5	ENSG00000083845
FAT1	CDHF7, CDHR8, FAT	ENSG00000083857
YTHDC1	KIAA1966, YT521, YT521-B	ENSG00000083896
CHMP2B	CHMP2.5, DKFZP564O123, VPS2B	ENSG00000083937
SMAP2	SMAP1L	ENSG00000084070
PPIE	CyP-33, MGC111222, MGC3736	ENSG00000084072
ZMPSTE24	FACE-1, HGPS, PRO1, STE24, Ste24p	ENSG00000084073
STARD7	GTT1	ENSG00000084090
NOA1	C4orf14, hAtNOS1, hNOA1, MGC3232, MTG3	ENSG00000084092
REST	DFNA27, NRSF, XBR	ENSG00000084093
HAL	HIS	ENSG00000084110
SSH1	KIAA1298, SSH1L	ENSG00000084112
GSTP1	FAEES3, GST3, GSTP	ENSG00000084207
APLP2	APPH, APPL2	ENSG00000084234
FAM234B	KIAA1467	ENSG00000084444
SLCO1A2	OATP, OATP-A, OATP1A2, SLC21A3	ENSG00000084453
WBP11	BUG13, NPWBP, PPP1R165, SIPP1	ENSG00000084463
EIF3I	eIF3-beta, eIF3-p36, EIF3S2, TRIP-1	ENSG00000084623
NKAIN1	FAM77C, FLJ12650	ENSG00000084628
COL16A1		ENSG00000084636
TXLNA	DKFZp451J0118	ENSG00000084652
APOB		ENSG00000084674
NCOA1	bHLHe74, F-SRC-1, KAT13A, NCoA-1, RIP160, SRC1	ENSG00000084676
AGBL5	CCP5, FLJ21839	ENSG00000084693
EFR3B	FLJ37871, KIAA0953	ENSG00000084710
KIF3C		ENSG00000084731
RAB10		ENSG00000084733
GCKR		ENSG00000084734
HADHA	GBP, LCEH, LCHAD, MTPA	ENSG00000084754
MAPRE3	EB3, RP3	ENSG00000084764
CAD	GATD4	ENSG00000084774
CD59	16.3A5, EJ16, EJ30, EL32, G344, MIC11, MIN1, MIN2, MIN3, MSK21, p18-20	ENSG00000085063
CD82	IA4, KAI1, R2, ST6, TSPAN27	ENSG00000085117
BCORL1	CXorf10, FLJ11362	ENSG00000085185
ATRX	JMS, MRX52, RAD54, XH2, XNP	ENSG00000085224
AK6	CINAP	ENSG00000085231
FCN1	FCNM	ENSG00000085265
MYNN	SBBIZ1, ZBTB31, ZNF902	ENSG00000085274
MECOM	EVI1, KMT8E, MDS1, MDS1-EVI1, PRDM3	ENSG00000085276
SCAMP1	SCAMP37	ENSG00000085365
PREP		ENSG00000085377
HACE1	KIAA1320	ENSG00000085382
SEH1L	SEC13L, Seh1, SEH1A, SEH1B	ENSG00000085415
WDR47	KIAA0893	ENSG00000085433
WDFY1	FENS-1, KIAA1435, WDF1, ZFYVE17	ENSG00000085449
OVGP1	CHIT5, MUC9	ENSG00000085465
SLC25A24	APC1, DKFZp586G0123	ENSG00000085491
MAP3K4	KIAA0213, MAPKKK4, MEKK4, MTK1	ENSG00000085511
PILRA	FDF03	ENSG00000085514
IGSF9	IGSF9A, KIAA1355, Nrt1	ENSG00000085552
ABCB1	ABC20, CD243, CLCS, GP170, MDR1, p-170, P-gp, PGY1	ENSG00000085563
ZNF213	CR53, ZKSCAN21, ZSCAN53	ENSG00000085644
AKR1B1	ALDR1, AR	ENSG00000085662
CPNE3		ENSG00000085719
RRN3	DKFZp566E104, TIF-IA	ENSG00000085721
CTTN	EMS1	ENSG00000085733
WNT11		ENSG00000085741
MTIF2	IF-2mt	ENSG00000085760
DDHD2	iPLA1gamma, KIAA0725, p125B, SAMWD1, SPG54	ENSG00000085788
TTC39A	C1orf34, DEME-6, KIAA0452	ENSG00000085831
EPS15	AF-1P, MLLT5	ENSG00000085832
ORC1	HSORC1, ORC1L, PARC1	ENSG00000085840
MGST2	MGST-II	ENSG00000085871
CHERP	DAN16, ERPROT213-21	ENSG00000085872
ATG16L1	APG16L, ATG16A, ATG16L, FLJ10035, WDR30	ENSG00000085978
USP40	FLJ10785	ENSG00000085982
POMGNT1	FLJ20277, LGMD2O, MEB, MGAT1.2	ENSG00000085998
RAD54L	hHR54, hRAD54, RAD54A	ENSG00000085999
MAST2	KIAA0807, MAST205	ENSG00000086015
DNAJA1	dj-2, hdj-2, HSJ2, HSPF4, NEDD7	ENSG00000086061
B4GALT1	beta4Gal-T1, GGTB2	ENSG00000086062
CHMP5	C9orf83, CGI-34, HSPC177, SNF7DC2, Vps60	ENSG00000086065
NFX1	MGC20369, NFX2, TEG-42, Tex42	ENSG00000086102
AQP6	AQP2L	ENSG00000086159
DIMT1	DIMT1L, HSA9761	ENSG00000086189
IPO11	RanBP11	ENSG00000086200
FOLH1	FOLH, GCP2, GCPII, NAALAD1, NAALAdase, PSM, PSMA	ENSG00000086205
EIF2AK1	HCR, hHRI, HRI, KIAA1369	ENSG00000086232
NME8	CILD6, DNAI8, NM23-H8, SPTRX2, TXNDC3	ENSG00000086288
EPDR1	EPDR, MERP-1, MERP1, UCC1	ENSG00000086289
SNX10		ENSG00000086300
SEPHS1	SPS, SPS1	ENSG00000086475
MRPL28	MAAT1, p15	ENSG00000086504
HBQ1	HBQ	ENSG00000086506
ITPKC	IP3-3KC, IP3KC	ENSG00000086544
CEACAM6	CD66c, NCA	ENSG00000086548
FAT2	CDHF8, CDHR9, HFAT2, MEGF1	ENSG00000086570
RBM22	Cwc2, FLJ10290, fSAP47, ZC3H16	ENSG00000086589
TMED2	P24A, p24b1, p24beta1, RNP24	ENSG00000086598
ERO1B	ERO1-L(beta), Ero1beta, ERO1LB	ENSG00000086619
ZFAND6	AWP1, ZA20D3, ZFAND5B	ENSG00000086666
HSD17B2	HSD17, SDR9C2	ENSG00000086696
TXLNG	CXorf15, FIAT, FLJ11209, LSR5, MGC126621, MGC126625, TXLNGX	ENSG00000086712
PPEF1	PPEF, PPP7CA	ENSG00000086717
LAT2	HSPC046, LAB, NTAL, WBSCR15, WBSCR5, WSCR5	ENSG00000086730
HUWE1	Ib772, KIAA0312, UREB1	ENSG00000086758
ZW10	KNTC1AP	ENSG00000086827
ALG9	DIBD1	ENSG00000086848
MYBPC2	fsMyBP-C, MGC163408, MYBPCF	ENSG00000086967
NOX4	KOX, KOX-1	ENSG00000086991
ACOX3		ENSG00000087008
MTMR2	CMT4B, KIAA1073	ENSG00000087053
PPP1R15A	GADD34	ENSG00000087074
HSD17B14	DHRS10, retSDR3, SDR47C1	ENSG00000087076
TRIP6	MGC10556, MGC10558, MGC29959, MGC3837, MGC4423, OIP1, ZRP-1	ENSG00000087077
ACHE	YT	ENSG00000087085
FTL	MGC71996, NBIA3	ENSG00000087086
SRRT	ARS2, Asr2, serrate	ENSG00000087087
BAX	BCL2L4	ENSG00000087088
NLK		ENSG00000087095
PIGS		ENSG00000087111
ADAMTS2	ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP	ENSG00000087116
TMPRSS11E	DESC1, TMPRSS11E2	ENSG00000087128
ATXN7L3	DKFZp761G2113	ENSG00000087152
PGS1	DKFZP762M186	ENSG00000087157
PSMC5	p45, p45/SUG, RPT6, S8, SUG-1, SUG1, TBP10, TRIP1	ENSG00000087191
UIMC1	RAP80	ENSG00000087206
CETP	BPIFF	ENSG00000087237
MMP2	CLG4, CLG4A, TBE-1	ENSG00000087245
MT3	GIF	ENSG00000087250
LPCAT2	AGPAT11, AYTL1, FLJ20481, LPLAT9, LysoPAFAT	ENSG00000087253
GNAO1	G-ALPHA-o	ENSG00000087258
OGFOD1	FLJ10826, KIAA1612, TPA1	ENSG00000087263
SH3BP2	CRBM, RES4-23	ENSG00000087266
NOP14	C4orf9, NOL14, RES4-25, UTP2	ENSG00000087269
ADD1		ENSG00000087274
L2HGDH	C14orf160, FLJ12618	ENSG00000087299
TXNDC16	KIAA1344	ENSG00000087301
RTRAF	C14orf166, CGI-99, CLE, CLE7, hCLE1, LCRP369, RLLM1	ENSG00000087302
NID2		ENSG00000087303
GMCL1	BTBD13, FLJ13057, GCL1, SPATA29	ENSG00000087338
SF3B2	Cus1, SAP145, SF3b1, SF3b145	ENSG00000087365
KLHL42	Ctb9, KIAA1340, KLHDC5	ENSG00000087448
GNAS	GNAS1, GNASXL, GPSA, NESP, NESP55, SCG6, SgVI	ENSG00000087460
DNM1L	DRP1, DVLP, DYMPLE, HDYNIV, VPS1	ENSG00000087470
PTHLH	HHM, PLP, PTHR, PTHRP	ENSG00000087494
PHACTR3	C20orf101, PPP1R123	ENSG00000087495
ERGIC2	Erv41, PTX1	ENSG00000087502
TFAP2C	AP2-GAMMA, ERF1, hAP-2g, TFAP2G	ENSG00000087510
AURKA	AIK, ARK1, AurA, BTAK, PPP1R47, STK15, STK6, STK7	ENSG00000087586
CASS4	C20orf32, HEFL, HEPL	ENSG00000087589
PIR		ENSG00000087842
AAMDC	C11orf67, CK067, FLJ21035, PTD015	ENSG00000087884
RFX2	FLJ14226	ENSG00000087903
METTL2A	FLJ12760, METTL2	ENSG00000087995
SULT2B1	HSST2	ENSG00000088002
ALG6		ENSG00000088035
CNOT3	KIAA0691, LENG2, NOT3, NOT3H	ENSG00000088038
GP6	GPVI	ENSG00000088053
PTPN4	PTPMEG	ENSG00000088179
DDX18	Has1, MrDb	ENSG00000088205
KHSRP	FBP2, FUBP2, KSRP	ENSG00000088247
GNA11	FBH, FBH2, FHH2, HHC2	ENSG00000088256
ASAP3	CENTB6, DDEFL1, FLJ20199, UPLC1	ENSG00000088280
EDEM2	bA4204.1, C20orf31, C20orf49, FLJ10783	ENSG00000088298
DNMT3B		ENSG00000088305
REM1	GES, REM	ENSG00000088320
TPX2	C20orf1, C20orf2, DIL-2, FLS353, HCA519, p100	ENSG00000088325
PDRG1	C20orf126, dJ310O13.3	ENSG00000088356
EPB41L1	4.1N, KIAA0338	ENSG00000088367
SLC15A1	HPECT1, HPEPT1, PEPT1	ENSG00000088386
DOCK9	KIAA1058, ZIZ1	ENSG00000088387
ANKRD10	FLJ20093	ENSG00000088448
TGDS	SDR2E1, TDPGD	ENSG00000088451
DOCK3	KIAA0299, MOCA, PBP	ENSG00000088538
C3orf18	G20	ENSG00000088543
COQ9	C16orf49, DKFZP434K046	ENSG00000088682
TMEM40	FLJ11036	ENSG00000088726
KIF9	MGC104186	ENSG00000088727
ARHGAP28	FLJ10312, KIAA1314	ENSG00000088756
CRLS1	C20orf155, CLS1, dJ967N21.6, GCD10	ENSG00000088766
DEFB127	bA530N10.2, C20orf73, DEF-27	ENSG00000088782
PPP1R13B	ASPP1, KIAA0771, p53BP2-like, p85	ENSG00000088808
ATRN	DPPT-L, MGCA	ENSG00000088812
SMOX	C20orf16, dJ779E11.1, FLJ20746, MGC1010, PAO, PAOh1, SMO	ENSG00000088826
SIGLEC1	CD169, dJ1009E24.1, FLJ00051, FLJ00055, FLJ00073, FLJ32150, sialoadhesin, SIGLEC-1, SN	ENSG00000088827
FKBP1A	FKBP-12, FKBP1, FKBP12, FKBP12C, PKC12, PPIASE	ENSG00000088832
NSFL1C	dJ776F14.1, p47, UBX1, UBXD10, UBXN2C	ENSG00000088833
SLC4A11	BTR1, CDPD1, CHED2, dJ794I6.2, FECD4, NaBC1	ENSG00000088836
DNAAF9	C20orf194, DKFZp434N061	ENSG00000088854
ZNF343	MGC10715	ENSG00000088876
EBF4	COE4, KIAA1442, O/E-4, RP5-860F19.3	ENSG00000088881
CPXM1	CPX-1, CPX1, CPXM	ENSG00000088882
MAVS	Cardif, IPS-1, KIAA1271, VISA	ENSG00000088888
LZTS3	KIAA0552, ProSAPiP1	ENSG00000088899
F11	FXI	ENSG00000088926
XRN2		ENSG00000088930
KIZ	C20orf19, HT013, NCRNA00153, PLK1S1	ENSG00000088970
DYNLL1	DLC1, DLC8, DNCL1, hdlc1, LC8, PIN	ENSG00000088986
TESC	CHP3, FLJ20607, TSC	ENSG00000088992
SNX5		ENSG00000089006
RPL6	L6, TAXREB107, TXREB1	ENSG00000089009
SIRPG	bA77C3.1, CD172g, SIRP-B2, SIRPB2, SIRPgamma	ENSG00000089012
MAPKAPK5	MK5, PRAK	ENSG00000089022
P2RX7	MGC20089, P2X7	ENSG00000089041
ESF1	bA526K24.1, C20orf6	ENSG00000089048
RBBP9	Bog	ENSG00000089050
ANAPC5	APC5	ENSG00000089053
SLC23A2	KIAA0238, SLC23A1, SVCT2, YSPL2	ENSG00000089057
SLC8B1	FLJ22233, NCKX6, NCLX, SLC24A6	ENSG00000089060
TMEM230	C20orf30, HSPC274	ENSG00000089063
DZANK1	ANKRD64, bA189K21.8, C20orf12, C20orf84, dJ568F9.2, FLJ10600, FLJ30892	ENSG00000089091
KDM2B	CXXC2, Fbl10, FBXL10, JHDM1B, PCCX2	ENSG00000089094
CFAP61	C20orf26, CaM-IP3, dJ1002M8.3, DKFZP434K156	ENSG00000089101
LHX5		ENSG00000089116
TASP1	C20orf13, dJ585I14.2, FLJ20212	ENSG00000089123
OAS1	IFI-4, OIAS, OIASI	ENSG00000089127
GCN1	GCN1L, GCN1L1, KIAA0219	ENSG00000089154
RPLP0	L10E, LP0, P0, PRLP0, RPP0	ENSG00000089157
PXN		ENSG00000089159
SIRT4	SIR2L4	ENSG00000089163
RPH3A	exophilin-1, KIAA0985, rabphilin	ENSG00000089169
KIF16B	C20orf23, dJ971B4.1, FLJ20135, SNX23	ENSG00000089177
TRMT6	CGI-09, GCD10, Gcd10p, MGC5029	ENSG00000089195
CHGB	SCG1, SgI	ENSG00000089199
PEBP1	HCNP, PBP, PEBP, RKIP	ENSG00000089220
TBX5	HOS	ENSG00000089225
BRAP	BRAP2, IMP, RNF52	ENSG00000089234
ERP29	C12orf8, ERp28, ERp31, PDI-DB, PDIA9	ENSG00000089248
NOS1	nNOS, NOS	ENSG00000089250
FUS	ALS6, FUS1, hnRNP-P2, HNRNPP2, TLS	ENSG00000089280
IGBP1	alpha4, IBP1	ENSG00000089289
FXYD5	OIT2	ENSG00000089327
ZNF302	ZNF135L, ZNF140L, ZNF327	ENSG00000089335
GRAMD1A	FLJ90346, KIAA1533	ENSG00000089351
FXYD3	MAT-8, PLML	ENSG00000089356
HEPH	CPL, KIAA0698	ENSG00000089472
CDIP1	C16orf5, CDIP, LITAFL	ENSG00000089486
CMTM1	CKLFH, CKLFH1a, CKLFSF1	ENSG00000089505
KCNH4	elk1, Kv12.3	ENSG00000089558
GANAB	G2AN, GIIA, GluII, KIAA0088	ENSG00000089597
GMIP	ARHGAP46	ENSG00000089639
RBM41	FLJ11016	ENSG00000089682
BIRC5	API4, EPR-1, survivin	ENSG00000089685
LAG3	CD223	ENSG00000089692
MLF2	NTN4	ENSG00000089693
OTUB2	C14orf137, FLJ21916, MGC3102	ENSG00000089723
DDX24		ENSG00000089737
